"Energioptimering","Energieoptimierung"
"Gazelleprisen","Der Gazellenpreis"
"Vi vil være Danmarks mest bæredygtige belysningsleverandør","Wir wollen Dänemarks nachhaltigster Beleuchtungslieferant sein"
"Om A LED","Über A LED"
"Nyhedsbrev","Newsletter"
"Betingelser og levering","Konditionen und Lieferung"
"Returvarer","Rückgaberecht"
"Vedligeholdelsesvejledning","Wartungshinweise"
"A LED CSR Rapport","A LED CSR Bericht"
"Databeskyttelse og cookies","Datenschutz und Cookies"
"Tilmeld nyhedsbrev","Newsletter abonnieren"
"Gør som +1500 el-installatører – Tilmeld dig allerede i dag for at holde dig opdateret på seneste nyheder og tilbud.","Machen Sie es wie +1500 Elektroinstallateure – Melden Sie sich noch heute an, um über die neuesten Nachrichten und Angebote auf dem Laufenden zu bleiben."
"Intelligent belysning","Intelligentes Licht"
"Lamper","Lampen"
"Marine","Marine"
"Industri","Industrie"
"Kontor & butik","Büro & Laden"
"Udendørs/Eksteriør Armaturer","Außen-/Außenleuchten"
"Indbygningsspots","Einbauspots"
"Ledbånd & profiler","Bänder und Profile"
"Lyskilder","Lichtquellen"
"Tilbehør","Zubehör"
"Illumessence","Essenz des Lichts"
"Kontakt","Kontakt"
"Referencer","Verweise"
"Kampagne","Kampagne"
"RING TIL OS PÅ","RUF UNS AN UM"
"Søg efter produkter","Nach Produkten suchen"
"Produkter","Produkte"
"Katalog","Katalog"
"Dimmer kompatibilitetsliste","Dimmer-Kompatibilitätsliste"
"Kontor &#38; butik","Büro & Laden"
"Ledbånd &#38; profiler","Bänder und Profile"
". Alle billeder og materiale er ophavsretligt beskyttet.",". Alle Bilder und Materialien unterliegen dem Urheberrecht."
"A LED is your professional supplier and partner for lighting solutions for schools, industry, shops, hospitals, hotels and other lighting projects.","A LED A/S ist Ihr professioneller Lieferant und Partner für Beleuchtungslösungen für Schulen, Industrie, Geschäfte, Krankenhäuser, Hotels und andere Beleuchtungsprojekte."
"Enter your email","Geben Sie Ihre E-Mail Adresse ein"
"My Cart","Warenkorb"
"Cart is empty","Warenkorb ist leer"
"Search results for","Suchergebnisse für"
"Download den ønskede fil ved at klikke på den.","Laden Sie die gewünschte Datei herunter - klicken Sie hier"
"Specifications","Spezifikationen"
"Login to add to basket","Sie müssen angemeldet sein, um Artikel in den Warenkorb legen zu können"
"Net price excluding VAT","Nettopreis ohne Mehrwertsteuer"
"Account summary","Kontozusammenfassung"
"Account information","Kontoinformationen"
"My favorites","Meine Favoriten"
"My order","Meine Bestellung"
"Contact Information","Kontaktinformationen"
"Newsletters","Newsletter"
"Edit","Bearbeiten"
"Back to the shop","Zurück zum Shop"
"Company name","Firmenname"
"Telephone","Telefon"
"CVR nummer","Umsatzsteuernummer"
"Country","Land"
"City","Stadt"
"Post nr.","Postleitzahl"
"Address","Adresse"
"Change Email","E-Mail Adresse ändern"
"Change Password","Passwort ändern"
"Allow remote shopping assistance","Remote-Einkaufsunterstützung zulassen"
"Update","Aktualisieren"
"This allows merchants to "see what you see" and take actions on your behalf in order to provide better assistance.","Dies ermöglicht Händlern zu sehen, was Sie sehen - und Maßnahmen in Ihrem Namen zu ergreifen, um bessere Unterstützung anzubieten"
"You aren't subscribed to our newsletter.","Sie sind für unseren Newsletter nicht angemeldet."
"You are subscribed to "General Subscription".","Sie sind für "Allgemeine Abonnement" angemeldet"
"Register","Registrieren"
"Newsletter Subscription","Newsletter Abonnement"
"Subscription option","Abonnementoption"
"General Subscription","Allgemeines Abonnement"
"Save","Speichern"
"Edit Account Information","Kontoinformationen bearbeiten"
"See your favorite products","Sehen Sie sich Ihre Lieblingsprodukte an"
"You have no items in your wish list.","Sie haben keine Artikel auf Ihrer Wunschliste"
"See your latest orders","Sehen Sie sich Ihre letzten Bestellungen an"
"You have placed no orders.","Sie haben keine Bestellungen aufgegeben"
"product","produkt"
"products","produkter"
"%1 product","%1 produkt"
"%1 products","%1 produkter"
"%1-%2 of %3 products","%1-%2 af %3 produkter"
"As low as","Priser fra"
"Net price excl. VAT","Nettopris ekskl. moms"
"List price excl. VAT","Listepris ekskl. moms"
"Choose option", "Vælg variant"
"Net price excl. VAT from","Nettopris ekskl. moms fra"
"List price excl. VAT from","Listepris ekskl. moms fra"
